ts,token,sembol,kaynak,ilk,pair_yas_saat,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket
1789107885,HunmXDXMNQYVoDnUL6PNnSYEtFaTZA2WzGh1HJTW7aoV,LOOP,boost+profil,1789106474,3.46,HX6nX5hd143EuHnvb5n7iTSuEBsEx4k9Ne6zyCYBbRMi,raydium,1789095430,0.004324,187761.58,4324287,4324287,25157.14,170546.26,1433433.22,1433433.22,20,17,345,119,4685,4467,4685,4467,11.83,10.12,9101,9101,30,0,1,1,CPMM
1789107885,4JGAe6q4DjJLFrerLufsZ22njUzJXopeWTGEbR5Gpump,RICH,profil,1789106474,0.56,BW8yMeh1DU8NfceQTp2G3rW12fnaPMYCbu8ysiG1kF7H,pumpswap,1789105868,0.000006818,5331.58,6819,6819,3882.99,342726.86,342726.86,342726.86,59,89,4887,4419,4887,4419,4887,4419,-48.43,-83.37,-83.37,-83.37,0,1,1,1,
1789107885,2bRoY87nsBq84TTKJKFD5gYxVLPhrTPKK9MaheSLCCLg,UNC,profil,1789106474,1.02,4UzewNYxrvNzATKiSDXjynL9krknGX4vzUxbnj7WtCBw,raydium,1789104206,0.00006722,21966.68,67229,67229,2674.27,198351.53,209075.79,209075.79,33,23,2521,1553,2699,1645,2699,1645,3.05,39.58,65.25,65.25,0,0,1,1,CPMM
1789107885,AopoH5CpGf6xss3V8fqwvF5sJocsBdJvPmZYygrcxP72,COMPANY,profil,1789106474,1.36,2qGNfMfwi1nmHSVgDeeA7c3vpBgAmBXWrsMiKTG5Ln9d,raydium,1789102974,0.00003739,17131.31,37396,37396,504.24,74829.26,552260.48,552260.48,10,11,1065,700,5561,4392,5561,4392,-1.96,-60.8,-10.35,-10.35,0,0,1,1,CPMM
1789107885,8tJH2pWSPX9epYQLX634TwzNhRws4Zfx6ggxeCG3gHye,HORSEFLY,profil,1789106474,1.06,BqqizuBYuotPtSnwtTzsfu5MW8oTKHZSPfnGphiXLKoD,raydium,1789104051,0.000003143,4695.33,3143,3143,9.29,10963.88,23277.77,23277.77,0,1,131,152,242,263,242,263,-0.79,-59.55,-92.41,-92.41,0,0,1,1,CPMM
1789107885,EPHtWbVJ5qDd1KRu7LYaFVT3wUsX631gga6grtfnpump,Flycraft,profil,1789106474,1.57,9W6QgtYXEBjztYGarTWhQGYWFQos5u3oGw62PhdzJHgB,pumpfun,1789102220,0.00002191,,21915.61,21915.61,333.21,53147.46,134896.57,134896.57,14,15,898,514,1999,1343,1999,1343,-1.87,-2.85,637,637,0,1,1,1,
1789107885,FvCmqaEVQQUA1cxsvCv7qFcMT9zAjrcyuyzE24X5STNK,BALD,profil,1789106474,1.87,A8aCGCo7R9Br8rvDN6a97tdZHeF8fjjHpHJMYpWtNPWD,raydium,1789101145,0.00006439,21433.95,64398,64398,368.96,11247.83,193614.69,193614.69,0,3,57,65,1184,1117,1184,1117,-6.66,1.13,53.94,53.94,0,0,1,1,CPMM
1789107885,3j9ftknFs38qmjD3TF8J3nhR66MraZcuyZxXHZ6Zpump,discat,boost+profil,1789106474,1.39,6HkGoF7xsq6sGrh7MD2BT27pQCoZsofffc3g2z4KpWWd,pumpswap,1789102865,0.000001927,2002.43,1898,1898,0,18.36,332311.45,332311.45,0,0,4,2,4460,3817,4460,3817,,0.88,-97.57,-97.57,30,1,1,1,
1789107885,9wajV6qL342kpEaV3J2WXWexeajFFvJVcBXXSLebpump,CANDLE ,boost,1789106474,55.55,FLdXSUNPdz79n5XZeyCpKYekpgEKubPNv6uoo5hKhNJt,pumpswap,1788907898,0.00005937,18711.2,56992,56992,0,25.36,1591.98,3810.67,0,0,3,0,20,19,101,60,,0.71,8.47,31.2,20,1,1,1,
1789107885,3XQZDtpn5QisVxcvB4sAReoknWnooU7yM4YCQtj45nqp,FARTCAT,boost,1789106474,44.08,85aGuq5zEUUU6n16FbRLHBA8Y2GpN1rXnr5RZLgnsZmq,raydium,1788949208,0.0002976,46129.47,297606,297606,377.73,8172.63,76971.58,285079.52,4,2,18,40,311,382,1611,1344,-1.92,2.23,108,130,10,1,1,1,CPMM
1789107885,HEhns9R3D8W4Ls12fjECUEnfPntABqvhTQqc7YYxpump,ZORILLA,boost+topboost,1789106474,3.14,GcBQeSEPdnN3hBdB7ZnviVmPsogE5A4JeRDPHYQ6wVxB,pumpswap,1789096565,0.00004169,17097.82,39268,39268,34440.66,181643.34,1340863.96,1340863.96,175,87,1311,785,10983,8284,10983,8284,-20.08,-40.26,2.04,2.04,100,1,1,1,
1789107885,EivTBSceiNKo7e1cUzBPsMW9ni2e2WQ65XsC3cqzpump,Reperation,boost,1789106474,70.19,5rCfD13nziDiF424H4M4cmBvmM5KZ6BQ7R3j8KpHJYTg,pumpfun,1788855202,0.000006281,,6281.72,6281.72,0,0,10797.95,10895.93,0,0,0,0,263,178,263,180,,,17.61,10.34,30,1,1,1,
1789107885,JD23tFDPhxyKX53w5dE1SaMFgYAFywGjiCsVn8CbPou6,BABYKNOTS,boost,1789106474,4.2,8SVjFZ4dFuYkpc6nrhz9Te4rWBxmMk25nTasSSGG52dC,raydium,1789092754,0.00005288,22193.3,52886,52886,97.6,2812.02,55518.64,55518.64,5,0,22,16,372,246,372,246,-3.64,-13.37,-8.32,-8.32,10,1,2,1,CPMM
1789107885,kmqTuLNPS4ZakQ6SoBxD3Cb5CpeaXssmfY1Z9gRSTNK,BULLISH,boost,1789106474,6.09,AUNPe7huZyE5Yqb1De4uS8V22oy2znDuHAKRN6npq9P7,raydium,1789085978,0.000006497,6784.03,6497,6497,47.86,1312.76,59068.9,132260.27,0,1,16,18,572,513,1156,1097,-3.96,-27.27,-82.17,-84.48,50,0,1,1,CPMM
1789107885,EpEfnZxQyiBXppSKi8sncc8w4corn1UJbF9G91fQpump,PEPENOM,boost+topboost,1789106474,5.49,Bd4wKg3xEBKJ4Xrw8skXMmJ4W65gk3x8yd7AovuBJisZ,pumpswap,1789088104,0.00004842,21817.6,33743,33743,566.86,4245.6,50711.08,50711.08,10,1,45,32,708,577,708,577,10.45,1.26,18.68,18.68,500,2,2,1,
1789107885,GYHPVwni3ucwizy9BM4TzTMw3PtSgxm5RRYvL8Ecpump,Stocklana,topboost,1789106474,19.21,7x1xReLV6ssLcouvY8uidYwHBBYkBFxqecdzPSmaswcJ,pumpswap,1789038718,0.00008915,27122.69,88681,88681,5691.27,79080.63,710822.75,6044975.15,642,433,7178,4559,32924,22659,121792,78310,5.54,-31.98,-90.83,-23.77,500,1,2,1,
