ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1789714343,2AwXq7L9cadT9SNwJkCe4o6ChKx1fn6Q7zpwT89Zpump,HaLGX2XhYc5zUS4x3xvxGhEhQZ9myokwFkdHGMAh39Dr,1000,3,1,2,1477.23,2527.16,1,2,1477.23,2026-09-18T06:43:40Z,2026-09-18T06:46:06Z
1789714368,2mAwFy97sa49yzeD72noAVTeUwDxUT2RUqs1A8tRMdyQ,x2wPADyp3otWCor6i3BpqssRvDz63K5QxLontDpbG4H,1000,300,150,150,155155.08,154091.59,20,20,1063.97,2026-09-18T06:51:23Z,2026-09-18T06:52:43Z
1789714393,8qCyRW6u3PnmcFcurvqNBeUiMrrdTsMcYaMx7BztWaPL,4zjPjJ3AWEtdCgSgooiPnFgDsR2fa29zARMdcmmdXViS,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714417,9QCsqQeCMKpVge7GXM32bYNQQFZGMUJJf25kbX3NxWMn,9RRkNcZFxbMrxnPS8moL6uqUiPpWEJif7za8FRoroDB1,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714442,ER2XobjesPV6xTXBRjzyo1aCj7nfs2N55LBeiWSmpump,49zxt4LDCHPZZXJRPCUvYFtawWQnY7G8j3p3MdPuwGyV,1000,5,4,1,4287.49,1040.75,3,1,1182.3,2026-09-18T06:44:15Z,2026-09-18T06:53:58Z
1789714466,GNBeaJtxa6bhtsxggCFhG8irCykaQZhRSFsX2QexWkfo,EnwZSDoUFi1dHEfwSKBEhTiG9Gd8pFsWL45gwBRHjsfD,1000,1,1,0,1164.58,0.0,1,0,1164.58,2026-09-18T06:48:17Z,2026-09-18T06:48:17Z
1789714491,H88SrjvuEq9D5ZaPeQLDKMfZg3ER45wCoJPoCtfSpump,5CK4qJZ4nAXoPEmBrvrBMfokoTxKkbqedMHpQTBHBWw7,1000,1,0,1,0.0,1022.38,0,1,0.0,2026-09-18T06:49:29Z,2026-09-18T06:49:29Z
1789714515,HWjR27n3Sg9RY7MWpfLaB3ZSYkcC2tfMnim2rB6Cpump,Ht6VBDz3Mi6RBHFSnrSReUqrozXDSZDksoXbomYnf7Kw,1000,7,1,6,1970.87,6291.36,1,1,1970.87,2026-09-18T06:45:38Z,2026-09-18T06:50:28Z
1789714540,MxDmr921R98ChZHnmbT4h571KZZarmjLhUdYu9Mbvjk,3U1xq8VKA9n2fsubPFS2n2PBrz5BVhTkHNk33zmnsKf7,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714565,eveeyP6HVKMeyeh5yJBtd5BfETZ6o6kRaBwYcMYpump,AY33LncS3HAaS1x4uAxhquDsaz3eA6vmP42vx2Qgp4Cs,1000,1,1,0,80375.92,0.0,1,0,80375.92,2026-09-18T06:48:30Z,2026-09-18T06:48:30Z
1789714577,7fa3xUtgHtfXF9eb3eVTJqqRZpotMV3EQbnHhdXj1m59,H1TcecqyB9cHF6JJR9RbJ1nv4tEGJQbWeaxyRsDCQarT,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714590,BdUVcTcHV21TKN8mM4gZpmT7bQMG3B9SzZZLZ4bYpump,HY3b6XUdGChX9mkPLYWkoTL6x3N2CoBT68oqwtwC2GR4,1000,6,2,4,23396.35,34794.46,2,2,22048.7,2026-09-18T03:42:36Z,2026-09-18T04:03:09Z
1789714602,1LRJMt9p2etR9NbRk6d5KtQXk9WRxH9isTdJah9pump,AskNexpdwtPyQD5EycFwR1snxXTvgd3VYwWAMcjdPo7i,1000,3,1,2,100007.05,2184.53,1,2,100007.05,2026-09-18T00:48:28Z,2026-09-18T03:04:51Z
1789714614,3tsWePSJbNZj8UkwobCpdxqfQ6M8vRBaXVhnvjsgt8nn,ChG5YjYXcjYFaTzTqTz969SF29EWTA17gkhYG8rPxkhd,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714626,4ckhh8swSi9mmriN7wKFY3qHg14NthDR652e2og2pump,FqE9QAv1yfTzo14rn2B2yrkr2cTrJS5tZGkNwHxUTcTV,1000,7,2,5,23723.06,46566.6,1,1,21716.85,2026-09-18T00:42:46Z,2026-09-18T01:16:28Z
1789714639,5s3aE6qn963Km8kZaT2gRSBbabnEB3UmweWQkPypump,HSu8C3Xwi9RWfJ33yArsHqYZJ2Zz6F3gKYMzjsgVavwf,1000,18,1,17,180343.61,56724.28,1,17,180343.61,2026-09-18T00:48:16Z,2026-09-18T02:18:46Z
1789714651,Aw4i79Ju3zmPCMTxnqThykTZUXxPhjjUQJQzrWk3pump,3PTjUkycrAXVs4W1dqZbK6wjSUHCfDTvnyFyhWC2bEXe,1000,28,13,15,15021.73,19251.83,11,13,1670.14,2026-09-18T00:48:10Z,2026-09-18T06:46:50Z
1789714663,CpcgnprGb6jMV5SY8oRuyALRByr9rNkYsdw8AVMCvdoN,3QaMeLw9VWaDqJW8r7kfhakUGA6fSs3BbMeBJtbGW1Mx,1000,38,17,21,25160.95,29047.83,14,16,2974.92,2026-09-17T23:39:58Z,2026-09-18T04:15:08Z
1789714675,CswXhYT1neLg5au3APYyva64gr8krh5i1MSy6c9Vpump,5Y2skKE5tT4TVyTBQbKrngvpy2bDKnksUALgabJvMGSj,1000,2,1,1,1506.08,2197.19,1,1,1506.08,2026-09-18T01:07:30Z,2026-09-18T01:25:59Z
1789714687,FgHYpGMDS6NEMqULsBcdCBLKrLaCTPdoxxZJtGvARDyy,CJL8bJWLuoXqfTXAz9TzNGH2dPQBMYj9hPZWqoxsZZKt,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714700,3VCmjYqnWVj3ZfKUXTi6QSwNLxgMm84NGRa6ZmEszhKH,9aYVmuQfxzpRPF9e4cFst3xLRfnTzxKSLhD4EapEUJNd,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714712,3gHwCMKmRFJB49PhGaYXWP96LRQuk5hZXsC8hd7rpump,BYLMeq6Dxzh6TA69DXact2yxxReNShrYrFguHi1EQppu,1000,1,0,1,0.0,1184.08,0,1,0.0,2026-09-17T22:17:12Z,2026-09-17T22:17:12Z
1789714725,7qVyANei9jYf173z4FBKcmKp3nXDDBKiXAWh7aT2perk,Bt3X28mcx4EAYwiRNdepCdUg42LF7fa1SQMrgkPVivMu,1000,300,139,161,256810.74,298150.25,95,89,7087.92,2026-09-18T00:59:50Z,2026-09-18T06:52:27Z
1789714738,8vZgLSSEUbjEmtRtmd9qsek54QxyRMLy5zT3VuzrcPsi,GSzHw7Xikq7yH4URDXyrHWkfmmULjn7xfajWTMSzPrTh,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714750,E9d2nc4E3NwAppuyVCEujLgdd9RJBZPTdvGjgTk5L75r,FKPkmRsU7wSgWWdcUYiTmx3kRCvz29vSaUwefXDnd1Cz,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714762,FKaJuPmxjYm9u4iDHxdYvA947vbjBQjpevQsBBVLns8z,6boRKYHraYY4JYb3XFJjfdW7eC93hmxxbLzyTEe2iwoc,1000,61,27,34,42096.06,47599.39,23,29,4927.96,2026-09-17T15:36:04Z,2026-09-18T02:37:49Z
1789714774,dmxi6j7cmXHG93kYKAL9r6odXZ9gybpsSEmuXsjpump,8pvwXyDmkmLcrvisEXcv3CvRFa3yAXUdtUtoYkfUivu8,1000,3,1,2,1019.34,2184.54,1,2,1019.34,2026-09-17T21:38:07Z,2026-09-17T21:53:10Z
1789714787,3M1kURavgnF4WnDNjiyCWUh7nu2S5rkoQk9WY2kS4uaz,AwTj3pneHK3YeSCHSXiMLNqCsYuFhscBmaHktgCKZzoG,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714799,ExLshQgMNKKuE3ZrX1fBjzi7hsYbvhe8BuhFhuoA9Vke,4noustHjV5DPK22a8GQQgxjc6ec1gsfPb5EjBPsSJLL4,1000,8,3,5,26014.86,40038.02,2,3,20506.66,2026-09-17T21:05:04Z,2026-09-17T21:27:11Z
1789714811,6UBMeEe3HynBBGfjVu46vUjKZAEhRyfH3ZS1RPk7pump,8oPivDGPtkFXHagwC2mrY5j9K5J7ukxchmwmzv326i7Y,1000,4,4,0,7286.6,0.0,4,0,1984.08,2026-09-17T18:44:57Z,2026-09-17T18:44:57Z
1789714823,Bp8geX7ycQkZhpN5mcQny74v1LK5pJ49LuorEf4rpump,4cQ69tmxusd47ZVrur3tEC6ZW2y4kvy1xRhoqCgDRDsk,1000,98,1,97,14150.12,103755.62,1,27,14150.12,2026-09-17T18:19:05Z,2026-09-17T19:26:13Z
1789714836,Bz3MA6QgKWHz8XNwbVKe4cpgC1coZa9F2N6dSt3Czigr,JADrY3t3KCbG4aF5FBXkpj1xLGQDyw5Yqpjk3qmpTTbM,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714848,EDSbodwSAwNMxAeiMixahG5rcTjjjfdfVMqbQvfNpump,7rFzeeFJ5rxh42yShHFqizUjE28eTNrULmyWUMfY4sCH,1000,40,1,39,1481.98,56288.14,1,38,1481.98,2026-09-17T18:12:18Z,2026-09-17T21:04:52Z
1789714860,EqNjNpgZkzm3p7zL1gXAVGboUX1kRcKZZJon1qxHpump,2eEqoKWxYUNKiDhPrwTBcXtoi9LgwCU1177oHcBfXDuX,1000,1,0,1,0.0,1150.66,0,1,0.0,2026-09-17T18:53:07Z,2026-09-17T18:53:07Z
1789714872,F7CTvENFnkDJysMhaFFicDT2FwnbW2oasFZGG6WJnar7,Yu7b2bVsMtvuJQTFihKmrxLeexFNo9LP8FzUo9psckr,1000,12,5,7,8179.71,9202.32,4,7,2993.19,2026-09-17T18:30:49Z,2026-09-17T22:45:03Z
1789714886,GLiE3Z5nBTcT2qoRBnUpQWDVyhH3KTs9gonTAbLGkW9N,wYRGjhpZPbkPHL8gLT1iAeg5srjCgRL4E4CQFUn8Gwt,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789714898,Gx5B5XYscRpLo1dL8ukawRGGnAGSujN9mdLU6LNTp89x,GUxvpsdgDPJ4sqNrkuvzadr8UprZ6ms3e1T8mkbMS64F,1000,2,1,1,1008.58,1572.25,1,1,1008.58,2026-09-17T17:58:35Z,2026-09-17T18:50:33Z
1789714910,Hg5v2ZXMiYjLBqZQ8Uf4S7eicYm93RwioQhBVfbDVNKJ,22i5whwk9FfTruGSd79q5cTXthMwgLsrxmB9VCT7pB2L,1000,0,0,0,0.0,0.0,0,0,0.0,,
