ts,token,islem_ts,tur,cuzdan,usd,tx
1790041617,2Gc5qzR1AaSxHweku54sP1ovZ1jThKNDDdescJ8nFLEX,2026-09-22T01:29:07Z,sat,Fuw8N9qSnhRTKDpezFHdKS1ymvyNXxmtYay2g36AubNi,2599.86,b7notTykCLeq8uFk8B1X9EcH3t8gxnTrZRdxpuAWkbtxUeTVGmv2y2JA1McrKwfrT29H2cawSwtj8v1JQeeRi9B
1790041617,2Gc5qzR1AaSxHweku54sP1ovZ1jThKNDDdescJ8nFLEX,2026-09-22T01:22:49Z,al,215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,2938.36,3HyCZpySePCTLoPmsdkHcttG54ahX5WJbsGERAsj68r4ZntkJtJ1d3TP5n3oGH3geGFrGyQRE8b5kVaN4f3c4A4n
1790041690,6sRE3sx9MN72rHTFqn7rgHom4FeQiRTDgRiRbnLfpump,2026-09-22T01:43:43Z,sat,GTfxD5X6wJtmoDXasfVm3G3N4VbMpSsHxuaPDouBS1X8,5146.89,4zTLZEerVwv4x3Ssm8iBazprApYKNpzuiXL6ES3VnbDk8ie4f2yM7NaQwcLj86FDa9ULCR7WxmJXczjLng4sK5ic
1790041690,6sRE3sx9MN72rHTFqn7rgHom4FeQiRTDgRiRbnLfpump,2026-09-22T01:39:00Z,sat,GTfxD5X6wJtmoDXasfVm3G3N4VbMpSsHxuaPDouBS1X8,41100.05,5kV44X17sLkMgbdxsMLqTepvVNB6CctyTBX1wnMURwUnEuR13Z1DMe2pZGsr8vom7ymiA6mzrEaDZianvh7mQNa8
1790041690,6sRE3sx9MN72rHTFqn7rgHom4FeQiRTDgRiRbnLfpump,2026-09-22T01:21:26Z,al,GTfxD5X6wJtmoDXasfVm3G3N4VbMpSsHxuaPDouBS1X8,31123.11,B38k586TRqZtv3DkrujrAm1bDU3VczftP5XEW9nBkohLs5ddQd6zPNr5mcCiEvL9ucWwFdsqE3p1crXvy8awjtn
1790041715,9zbG5ugLsHXAfwGhPbds9SgQNd1UiTQbPgTyWCeBpump,2026-09-22T01:38:38Z,sat,6hWtCz5AivteXuvFMVLSWUXdAZh34fSSyibRaatkW67D,2785.46,45a9t2mr21gaExcRQqRAkcDWnB683VaFpRBMzxMBTy9aqiAjAyxdTZKYKZKb5oW34wwYjmwfBWyW5Qucbcx5X4j
1790041765,GnNsFK5g6wfqG3pmCduRRUD2SZcgJws1hNyKcZgspump,2026-09-22T01:44:09Z,al,2HvNfsGPbrA6K9yTbzrB4TzJ3YUcod8RwVZjpDeXURtS,5816.62,2G5eW1FrcKwbq5Cf2tJpGsNSX3EshCwUTfJHLbspGYgF2zvJsiotR5hkvb8mXi8XE7GwZLoe6S1PhQ4dyXpML4oY
1790041765,GnNsFK5g6wfqG3pmCduRRUD2SZcgJws1hNyKcZgspump,2026-09-22T01:42:43Z,sat,2HvNfsGPbrA6K9yTbzrB4TzJ3YUcod8RwVZjpDeXURtS,3871.69,4jFdExmU9RrKHccLYiz5uufxXHM3nNZnpySgmDbEz5XZQWwi6DZ3pmrrdch4VdLBs6fMXZJoXPqrv1J24EioaagZ
1790041765,GnNsFK5g6wfqG3pmCduRRUD2SZcgJws1hNyKcZgspump,2026-09-22T01:34:47Z,sat,2HvNfsGPbrA6K9yTbzrB4TzJ3YUcod8RwVZjpDeXURtS,5757.64,axcW1b78nGXg43fdEwJWNJRihkKbEQ8ztcTiX1NT3r7eUH6qzruA6Sgwbnn8CQiMz5Qx4xcGScLKA1yvvUVisdM
1790041765,GnNsFK5g6wfqG3pmCduRRUD2SZcgJws1hNyKcZgspump,2026-09-22T01:29:40Z,sat,2HvNfsGPbrA6K9yTbzrB4TzJ3YUcod8RwVZjpDeXURtS,8247.75,66fKLNxsoNLA9s3Sef5AhwswCm3HuZ7EPEsGDdKUztWu68HsPKTuZTCroMzhQqkDkWv6HXxiivcMJabtiM6ELALL
1790041765,GnNsFK5g6wfqG3pmCduRRUD2SZcgJws1hNyKcZgspump,2026-09-22T01:27:28Z,sat,2HvNfsGPbrA6K9yTbzrB4TzJ3YUcod8RwVZjpDeXURtS,13174.12,351gEZGi6K6UgqzqTSQYzTCYmDTZcnZKCjRMPc7k3VbvwjoXoWCY7q8fPg6Pnd4SSZmNfMNZiuvDbe7BbwVKrTer
1790041765,GnNsFK5g6wfqG3pmCduRRUD2SZcgJws1hNyKcZgspump,2026-09-22T01:26:58Z,sat,2HvNfsGPbrA6K9yTbzrB4TzJ3YUcod8RwVZjpDeXURtS,24420.07,371pYuMiF1UdQUY5Gzpa2xtK6QDZ5Z8terW6D9UUm6YJPrVFCidtvijbbMBSPXQkofqz3VNLrfYmQW4hDUJedx5R
1790041765,GnNsFK5g6wfqG3pmCduRRUD2SZcgJws1hNyKcZgspump,2026-09-22T01:13:29Z,al,2HvNfsGPbrA6K9yTbzrB4TzJ3YUcod8RwVZjpDeXURtS,28147.66,4Rq7CVDuDCa343MxSxQShFcZ6vFgvecTwEfJux2Gx3YUta9RDzZHpwDYG1B1aWMLGi6g3e7iYEjq4Y9N6nFQMLQH
1790041851,EHY56TBNQ1jX6zUQx7gTPwbdGo7zfKMUH6kvXLbSpump,2026-09-21T21:57:43Z,al,9AfZyQXCRZR83LjPPWBWF8dSqHjjm3xvLUDgcbgbnNB9,8308.01,2gUXWYRqDs1wWx26BMd3qvhtLP1DKn7oUYVU7hgy8ZX5w1Gu8x9cniVXVR44VosHPaD2sD4MUJupUv6mouw88kfW
1790041888,HGNPr1ztbHLU4eo9zQEcxCGXJHF6iQ246M3iobFxpump,2026-09-21T21:56:50Z,al,6TYB4axzjHntqk5Ut3GVAcaurFM7XLJnoFKjs7axaaDt,19456.6,5yFZefW4zanRxUvaUbGKMhY2e2eHTswo1jTw85LrWaRrDyxumCKT6P2ZAHReYyxuA3XPUudf5Hg78oCYoKRTQ4XY
1790041913,2YqWSh5yFvyzLYDxjEDqrxZFCisDb374oNjKac3xpump,2026-09-21T19:49:07Z,sat,ZyGUEAoAMCcymjh1VSbDqGGFxCJLF2Z7md6twPrX5SJ,12973.98,3mNANR7RzcZ5aHKNCKULMLrfp6pTTnUouS9t8VbxBYyGZci5WUE7hNGwo9gVC4AYZNcRx4L3tafymcDLpkbVB6C8
1790041913,2YqWSh5yFvyzLYDxjEDqrxZFCisDb374oNjKac3xpump,2026-09-21T19:42:26Z,al,ZyGUEAoAMCcymjh1VSbDqGGFxCJLF2Z7md6twPrX5SJ,5122.69,5tfWh6duRxQw2xnNiAmwdKps6Nmh6XmmXBmYUNDfA6UXGk9t3s3CYBgeQSTjn8mDMxNkqPwQJ6cBwe2fGqw4oLSS
1790041962,9zkdq1Ze2WUQkLY4HB226A1H9ArBNu8wvDNNdsCbpump,2026-09-21T19:15:22Z,al,QZarxEJxBuF9TxtLBTqJVCrt7L3Vhahne8AgZEXKM2S,7612.7,4XFTiny6VYpfxVxJMAbcjNQtd8Pt5Ag2A4DpCRFAdjWHUpvV9otMriatkB2K3YQmErduTMRXmffBrAL23VjpSL6Y
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T22:28:08Z,sat,4CRX74nxAdmFY4Eh1WhTrmYqHoxwxGzwXfgzTWvhUfFn,3298.27,44vUMFrQF1oyjXeDt3sQbZXwwzd2n4UZSq4Qj2vi2jGVbG3qodScghLHDChrrKByByzeVMufFH1d4VyMTNVYhErf
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T21:29:25Z,sat,14LAK1LeNtieHrCXXeYxCqJZwaBQFEwqXMz9KwFwwVpY,3178.2,2zMHvQpEkSZgUdCxVeG1mF9vSjDauNXTnxL4SvN8aEkSZU6JnEFhbqygDPfujAVCDmvts4LL5uwMfeQidg6QwEsY
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T21:14:54Z,al,Et9jbvxvwKrKW5ZYJudU6HxLpHfCBVR4dR3yzWDqH1Zo,7711.21,53E1KNDyftCqnKqSTioW9QdjvsWoKQqFG9rDPrRyE6UQJtFVnJUtHZoksKTvV5T36M3YDaKMENAGHR6JAPY3qE6P
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T21:10:02Z,al,HaHToYj1EDQf2FzwV9g34wWumk1nsgv55Mu2ou7FFX9Q,3157.97,8vQZ5151QNYxec1JypHvn2xWYHvhDhdMgvuZ3NYvVsuGVL8ibGd2Zku7w2vTsE5P7QyUhekzAn4uPG3W44kgSRd
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:49:58Z,sat,HbpaxGEjrEt5QJiFXKPgspKB2Uu53KkzDGa3qhjduYU1,3504.61,QyR3NKm1idUKwoYauLJR9BgHiYtj1beY1qZw59eG3GStnCGB5DJYirg5f6gFpoGyLS6Tb6YPtKnmM4sxWMnjGZ9
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:43:57Z,al,C6NB5RKxZQ8GLnRRQWzbdr71fLPJ2yb32aV1aHyxPXex,2569.21,3jBa274cBNRPMj8kTLPBP9Te2JDpwuWhha4jrHRvrC78QyUWrfLVDvBoW7pEozhhXRvTYX69XyfPi6jvnZBB3XhB
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:39:03Z,sat,22kpydoYsmQHnFfwL8TG42WYnG4BxeWDkys8hL4Ei9aB,4120.11,278LRCNMu6ouhPTGeZPV4ERd3EJfkBWScZHHoRcFJa3RiR5XKkuZZGBJ23nGCBDeqfHkyRMB2nxLg3hz5aqCYYyz
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:31:57Z,sat,9HN95wt8Qy7cFRpq1iXNvNLVe54mAR2nLaq2yJHDkuAR,2671.24,RBTxTtApdt1jEi9hZ8JL4voW1i1PqJ35VsvTGgBbe6SKSnKYY8Xk68Z3JgRUAUBwTNcNs7mnW7Bq2hcDw2cho5X
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:30:45Z,sat,8Lee2xyK6PJk56cf3NMP5ZDR76Ww4vnoHGdyBD9TThSP,4739.73,5mEgcPoEjmCWM3F7azMrVdx7RnL8Z2B7AZbiHr789tg6yHfS8ggDZu8o9aGME6pEHnbNhMoam368c2PRkgV9JcQ3
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:24:05Z,sat,C6NB5RKxZQ8GLnRRQWzbdr71fLPJ2yb32aV1aHyxPXex,2661.71,Qo2qvMqDdASkPdX6PaQqgh2b5FZmkDCZaLAzEJBJVpJrDKvqUA4prWa6dKFLL3AU8ytMmdF4wEs4yzvyPLWsfjs
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:20:45Z,al,HbpaxGEjrEt5QJiFXKPgspKB2Uu53KkzDGa3qhjduYU1,4721.84,291AEUya6721Bhb9s8aoNLYpnarJnijbwtBTpYadKVFUHKwVQoTN1QrZZKL1EhPE6QbUSMHFNx5RcoVDKJ13ePyX
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:20:10Z,al,AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,2637.9,44jQitKSGUYkqQmoVrWZWCPgNrUHaouSgMeUegwPo9ti2VD85Q3dRoXRMZxshVdSnM1psVqfa59xuubY4MsbhFDs
1790042011,FQVeKbsDekWZZCadPsoySud4dDeFsyt9fXKMXrbyvdDD,2026-09-21T20:19:58Z,al,CQhf9UaiyQpCzYW4GE9eeziUUQT954zBtGGDLKfRS4QE,2681.03,4xuoxDg2rRvueqfZK7Nwo4ciUHCeoNaED3NaadJqBacqSAQbhR77urk2DwgBXUE17DK9xLiYMJdmnnHhxops9M7c
