ts,token,holder,top10,h11_20,h21_40,kalan,holder_guncel,dev_yuzde,dev_adres,mint_yetki,freeze_yetki,honeypot,gt_skor,s_pool,s_islem,s_olusum,s_bilgi,s_holder,gt_dogrulu,kategori,twitter,telegram,n_web
1790296237,2DLjvHAWKPMJRSHybSzqK91wmfMhcJiy8mo15Zhixmqj,,,,,,,,,,,unknown,18.90909090909091,11.429,100.0,0.0,60.0,0.0,False,Inu,buttbrainer,,1
1790296261,2Mpu2vV2ccYvD4tFd9H6eiqECdcWZCVbhcHTLDeG1SfU,326,94.0966,2.6692,2.8315,0.4027,2026-09-25T00:23:52Z,2.29,H5u5Movk5ZUJHwYQstTkuNzvvRTvK98V7asLm7KjMYQa,no,no,unknown,44.34285714285714,54.286,64.0,0.0,60.0,52.5,False,,SolanaCastleSOL,,1
1790296286,3K54D4aE9ewEEyo8ycJnuQFHqT3NnCq7PBtRpKhHCDME,53,81.6871,14.7206,4.3687,-0.7764,2026-09-25T00:17:20Z,0.0,AN38on9YmoH6TQ7KEfnUY1mp88HdNG2m6iV9BgD5NTpK,no,no,unknown,33.53766233766234,40.0,64.0,0.0,60.0,32.5,False,Pump Fun,buttbrainer,,1
1790296310,3znS89gifim2Hhhu8wjb2PfSgaCDdma187D5NMkDpump,1816,23.4019,9.193,13.083,54.3221,2026-09-25T00:18:52Z,3.82,GxTXJvtn5teHtCcxPjeacKjhi7KVqScjKupmifXgf2c4,no,no,unknown,52.57142857142857,65.714,100.0,0.0,60.0,53.75,False,Pump Fun,buttbrainer,,1
1790296335,4N6vTE35V77VXPFHGZMXgcgyFFRdq4ono9m3DTn3coZg,,,,,,,7.27,BVSuZTmcE5Zwjz6pnaxbsAhyWEpSrXWQfGxisuZtdg2j,no,no,unknown,29.132467532467533,40.0,32.0,0.0,60.0,31.25,False,,buttbrainer,,1
1790296359,4tKvrN5mhanCowMKcNmiM2pYADVX9uN6JQW2HruCpump,278,53.7282,23.0219,10.2748,12.9751,2026-09-25T00:26:43Z,5.0,SY55oN5zbL4WRqBjZPmJMbHvqocZgFf1Y5GVcG1KXUi,no,no,unknown,36.862337662337666,42.857,64.0,0.0,60.0,40.0,False,Pump Fun,SolDreamPF/status/2103264376899731538,,1
1790296384,9PxibZ69bKh76EMXvQ6mESWiJvSx7NRmo4bngdxppump,818,25.2205,7.5598,10.4125,56.8072,2026-09-25T00:28:00Z,0.18,Dx5A2pMgxi2rRZZKRHbmHcKaBhKKTZX18nSJVeqVXXsS,no,no,unknown,44.675324675324674,54.286,100.0,0.0,60.0,40.0,False,Pump Fun,SolanaCastleSOL,,1
1790296409,CcY1oA55vGEZBwVwfichY67nRyfhAdDj1tNniDeNk8WW,370,36.6943,14.4038,17.6176,31.2843,2026-09-24T22:38:45Z,,,,,unknown,29.797402597402595,25.714,64.0,0.0,20.0,40.0,False,,,,0
1790296433,HvBPM4ZjR4DirP8V9HZBZCbDXEUiswnnEYaNJFBVpump,,,,,,,0.0,EuauEoSn2KJhFbz8h5WP5sTf9FY7fcEdzXybMEA6k7o3,no,no,unknown,24.103896103896105,40.0,0.0,0.0,40.0,31.25,False,Pump Fun,FirstSquawk/status/2103279677477703710,,0
1790296458,uSnUerPhk9PyiJAHsb64y1QYJmMv3HJ66WPdwnPpump,51,100.0001,0.0,0.0,-0.0001,2026-09-25T00:26:55Z,79.31,3K17xu4SBJbLmPfBkw62uZJw6NjXZgscjLeSyxybx9RU,no,no,unknown,54.44155844155845,100.0,100.0,0.0,40.0,32.5,False,,,,1
1790297492,2TQhy9GWkYx9R7CtmCKLGPJXiMaBc77gk782igPCpump,2307,4.05,0.483,0.966,94.501,2026-09-25T00:49:31Z,0.0,5wSt5ACLciLT4LFxtqAunectwpTbqbpnLkmCrLEi5rwd,no,no,unknown,47.33506493506494,77.143,48.0,0.0,60.0,47.5,False,Urban Dictionary,FomoCoinof,,1
1790297517,5iqjhP5ig6JWdXQf6hYAwojZeMf11pTCvH87gCQtpump,709,34.6101,9.4152,10.53,45.4447,2026-09-25T00:42:36Z,1.05,2QnnJUwaHUWigWwSn6qs6S6E3KiuKhHzXi2WdWVRe9wo,no,no,unknown,44.25974025974027,54.286,80.0,0.0,60.0,46.25,False,Pump Fun,trendtraderalgo,,1
1790297541,5qfodizArUwfzWxnHqvaK45eVdzv1mj8L6QPY8gUpump,2110,16.465,3.2191,5.735,74.5809,2026-09-25T00:46:46Z,0.0,2aSk1FWq39JHFNHUdCueVPibbTgfCCmyFEGE6U1MiLS9,no,no,unknown,47.87532467532468,54.286,64.0,0.0,80.0,60.0,False,Pump Fun,tuggin_pepe,tuggin_pepe,1
1790297565,9DLdzhLysYHg5YNd5uC9j4qhiyJYsfWXeW5kYkhxpump,2636,16.4354,0.6833,1.0519,81.8294,2026-09-25T00:48:37Z,79.51,HFGoapYRkFXjyhHzxwn5e9LcPdjJbCpngLpaBUX5nWLA,no,no,unknown,46.836363636363636,54.286,64.0,0.0,60.0,60.0,False,Pump Fun,Token22Labs,,1
1790297590,BozphR8Ehb4zxLKYSh9aPApaZnLN5QiDs8KXjtnB4sEG,19,92.0242,5.4238,,2.552,2026-09-24T12:17:14Z,,,,,unknown,24.810389610389613,25.714,64.0,0.0,20.0,25.0,False,,,,0
1790297614,D5qLnkRpzvuizsp4BfcrEWgUHiwrLoxVNZHoCx3Rpump,49,99.4689,1.2336,0.52,-1.2225,2026-09-25T00:48:47Z,0.0,33L9ZH3S9A6uCs94ugeJRGaRr1B5CEPVdmzpC1sufWn1,no,no,unknown,19.74025974025974,28.571,0.0,0.0,60.0,25.0,False,Pump Fun,GoMascotOG,,1
1790297639,DSLQn7hm3SWbGgQrBFyTAmDjcnUnH7kMAQwpLXBp2BMF,,,,,,,0.0,GU7B3kbtv15T2Hxte88P3qX4wWdrHDnoMDw8R4xNij7M,no,no,unknown,30.462337662337664,51.429,16.0,0.0,60.0,31.25,False,,wenpcfamily,,1
1790297663,Ekpha8tc7A1UNe3rqAGK8kcfxRtcU27SDMGVpEmYnoDr,40,99.9372,0.0592,0.0033,0.0003,2026-09-25T00:44:33Z,2.29,7EHsBjfEfwumwijYFq5iR6cJnhpQ2xFtQcNymUfT6zBt,no,no,unknown,39.35584415584415,54.286,64.0,0.0,60.0,37.5,False,,trendtraderalgo,,1
1790297688,GYJ7Yh9wx7AQezECo9F2rY2HM5BPissMkRQhqe28ocp,70,71.7911,13.8066,10.0381,4.3642,2026-09-24T02:08:34Z,3.33,BsGxhgD8yvSHGXWZDoErjzLwxf5kzboikzJHEVK2Zpg3,no,no,unknown,32.29090909090909,42.857,64.0,0.0,20.0,32.5,False,,,,0
1790299277,3s5g5xhJDNkqnehL1baRdUQJ3SAfaVFDKJ2dckf5pump,2363,4.7742,0.466,0.932,93.8278,2026-09-25T01:18:14Z,79.69,F33p3studZiwmEWNA5d2yoLCQ3GMSauDhTUQBHgJHtFo,no,no,unknown,44.01038961038961,65.714,48.0,0.0,60.0,47.5,False,,nvidia,,1
1790299302,4Lineqg4q9ZpDzJg1QG6kqoeXigPdGsmfUVeYnQEpump,146,100.2293,0.006,0.0026,-0.2379,2026-09-25T01:02:05Z,79.54,5W5zzcbd6z7ab3jVs8ucXmGPHUF2Ft2KfdfQ4pxXdee8,no,no,unknown,43.51168831168831,65.714,64.0,0.0,60.0,40.0,False,,OpenAI,,1
1790299327,5aL8e14oZ1RWzZR9R6gmjpxQuRCX29bW9wPGhy4Hpump,1220,20.7631,5.892,8.9147,64.4302,2026-09-25T01:08:33Z,0.44,BjtZJf15qFLwTtwJGDdwgR8yTW58HDZ6fpqRAjnt9emW,no,no,unknown,53.61038961038961,65.714,100.0,0.0,80.0,53.75,False,Pump Fun,solraindev,SolRainDev,1
1790299352,5sKvB9bCaKyYqLM8dUKqun78fWtNmgor9ocFue4b2n2V,363,99.2024,0.7187,0.011,0.0679,2026-09-25T01:20:03Z,,,,,unknown,4.363636363636364,11.429,0.0,0.0,20.0,0.0,False,,,,0
1790299376,5tHrAQ3MW8vtS1JPJrCgWKPPk5mueauYXfjw8ec6YdHV,327,68.3953,3.4957,6.1842,21.9248,2026-09-25T01:20:03Z,,,,,unknown,17.662337662337663,11.429,0.0,0.0,20.0,40.0,False,,,,0
1790299401,AJptdzQJESribvtb8mNuc4ArfUz66TUxQgoenKZrpump,200,60.8491,11.3308,12.6948,15.1253,2026-09-25T00:56:32Z,0.0,4GXvpB7HSEYqjF3M5UpaEemugKN4UwMKepH8VqFrfEdD,,,unknown,17.454545454545457,0.0,0.0,0.0,40.0,46.25,False,Pump Fun,i/communities/2031057123820581083,,0
1790299426,DU5QRsmtC9rayFRc6RnwYDMRpTTUvdr1YbCyi66Htcs,,,,,,,3.62,6fcRr3N1ZKTTRYj5qJEhnkLFe4ncGVWWLXUNiMst9Wxg,no,no,unknown,44.25974025974027,62.857,100.0,0.0,60.0,31.25,False,,buttbrainer,,1
1790299451,FWnqyEn7GTJgYN3qnZSFn6h6QscuqgBSYDVZ5yGFpump,13,100.406,0.0,,-0.406,2026-09-25T01:11:03Z,79.68,EPYKD6yjPTicFVaG3tLTY4GnTkQTXteVnX8quuchpaZv,no,no,unknown,27.885714285714286,42.857,32.0,0.0,60.0,25.0,False,,MercedesBenz,,1
1790299476,HmKf5kYjB6USAZB3Mnbqr29md2UwkjUiZU2ePyCZRp1Q,,,,,,,,,,,unknown,11.012987012987013,34.286,0.0,0.0,20.0,0.0,False,,,,0
1790299500,J5dK2rRCvNjfTXDsZ6jpigjav22WNmJHTPJmVqYB6jRD,692,80.2484,15.5164,4.1702,0.065,2026-09-25T01:13:36Z,,,,,unknown,32.20779220779221,11.429,100.0,0.0,60.0,40.0,False,,gocollectfun,,1
1790299525,nDZknLvfFRp5rgUHdzTrQsmSY5NKzoavqdLjSHVpump,2074,22.7117,9.569,13.6396,54.0797,2026-09-25T01:13:54Z,2.01,GaB8TsBavRCodktVEkqYLZpTRALhhZ9xo8xjzW99kkLa,,,unknown,43.42857142857143,34.286,100.0,0.0,60.0,53.75,False,Pump Fun,gocollectfun,,1
