ts,utc,ds_cagri,gt_cagri,gt_429,aday,yeni,aktif,snap,info,islem,olu,hata,sure_sn
1789108929,2026-09-11 06:42,62,45,3,357,25,25,25,5,6,0,0,256.7
1789109408,2026-09-11 06:50,32,45,3,356,5,30,30,3,5,0,0,206.6
1789109669,2026-09-11 06:54,35,60,0,386,7,37,37,28,24,0,0,753.8
1789111205,2026-09-11 07:20,36,27,0,398,8,44,45,9,10,1,0,347.8
1789112786,2026-09-11 07:46,38,26,0,397,9,52,53,9,9,1,0,332.7
1789114862,2026-09-11 08:21,37,24,0,399,8,59,60,8,8,1,0,308.6
1789116431,2026-09-11 08:47,39,29,0,394,10,67,69,10,10,2,0,379.3
1789118374,2026-09-11 09:19,39,29,0,390,10,75,77,10,10,2,0,371.1
1789119982,2026-09-11 09:46,40,60,0,382,10,84,85,10,41,1,0,765.3
1789122008,2026-09-11 10:20,41,41,0,380,11,92,95,11,18,3,2,589.3
1789123563,2026-09-11 10:46,41,42,0,394,11,98,103,11,21,5,0,562.3
1789125546,2026-09-11 11:19,38,31,0,394,7,105,105,7,14,0,0,395.7
1789127058,2026-09-11 11:44,33,24,0,387,3,105,108,3,11,3,0,313.8
1789129495,2026-09-11 12:24,37,28,0,388,6,110,111,6,12,1,0,362.1
1789130980,2026-09-11 12:49,38,60,0,378,8,117,93,8,42,1,0,764.6
1789132811,2026-09-11 13:20,37,46,0,375,8,124,85,8,29,1,0,586.4
1789134349,2026-09-11 13:45,41,52,0,373,12,134,96,12,30,2,0,656.6
1789136415,2026-09-11 14:20,42,47,0,395,11,145,122,11,25,0,0,597.3
1789137997,2026-09-11 14:46,40,40,0,381,10,155,115,10,20,0,0,510.0
1789139930,2026-09-11 15:18,46,52,0,391,16,169,108,16,26,2,0,661.9
1789141522,2026-09-11 15:45,44,60,0,393,13,181,121,13,36,1,0,754.8
1789143629,2026-09-11 16:20,48,60,0,392,16,195,143,16,33,2,0,760.8
1789145155,2026-09-11 16:45,39,60,0,391,8,202,140,8,41,1,0,752.7
1789147084,2026-09-11 17:18,43,60,0,401,12,211,126,12,37,3,0,755.8
1789148590,2026-09-11 17:43,41,60,0,398,9,218,144,9,40,2,0,758.8
1789150934,2026-09-11 18:22,45,60,0,385,13,230,160,13,35,1,0,767.4
1789152368,2026-09-11 18:46,43,60,0,389,11,240,165,11,37,1,0,764.1
1789154225,2026-09-11 19:17,37,60,0,394,5,245,145,5,44,0,0,761.5
1789155789,2026-09-11 19:43,48,60,0,394,15,258,166,15,33,2,0,769.0
1789157954,2026-09-11 20:19,43,60,0,386,11,268,172,11,37,1,0,763.3
1789159503,2026-09-11 20:45,44,60,0,394,11,278,173,11,37,1,0,759.5
1789161459,2026-09-11 21:17,41,60,0,391,9,287,156,9,39,0,0,759.8
1789162964,2026-09-11 21:42,41,60,0,380,9,295,171,9,39,1,0,758.1
1789165093,2026-09-11 22:18,45,60,0,385,12,306,177,12,36,1,0,765.8
1789166574,2026-09-11 22:42,46,60,0,393,13,316,177,13,35,3,0,760.3
1789168596,2026-09-11 23:16,37,60,0,376,5,321,158,5,43,0,0,756.8
1789170122,2026-09-11 23:42,45,60,0,382,13,332,178,13,35,2,0,771.8
1789172724,2026-09-12 00:25,50,57,1,393,17,347,180,17,27,2,0,844.8
1789174080,2026-09-12 00:48,40,60,0,403,7,353,172,7,41,1,0,752.8
1789175785,2026-09-12 01:16,45,60,0,407,12,365,168,12,36,0,0,758.5
1789177447,2026-09-12 01:44,44,60,0,404,11,372,193,11,37,4,0,754.1
1789179550,2026-09-12 02:19,51,60,0,399,15,387,177,15,33,0,1,792.3
1789181096,2026-09-12 02:44,44,60,0,386,9,394,175,9,39,2,1,780.7
1789183116,2026-09-12 03:18,43,60,0,391,10,403,196,10,38,1,0,755.9
1789184672,2026-09-12 03:44,39,60,0,394,6,407,194,6,42,2,0,760.0
