ts,token,sembol,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket,gt_ts,alici_m5,satici_m5,alici_h1,satici_h1,alici_h6,satici_h6,alici_h24,satici_h24,kilitli_liq
1789627939,4MT4NAgPGXLa6ZCPdCyRWPKZsyD22Y3rUcUZhLjyqJar,OSMA,8Ax75NZniL9cowGMQNjuEQDvCKNQ7kKyDcrYFrBsu1kG,pumpswap,1789115327,0.000002345,2373.95,2278,2278,0,0,0,17.45,0,0,0,0,0,0,3,2,,,,3.25,0,1,1,1,,,,,,,,,,,
1789627944,u24BzZQ7QSQDC3HMUE7dig9fWSUqkZbQuvLsw811Hue,OMEN,6pvBaeq7eR9e56V63aYqJPLup5YnjrSDEnUYTWPZPqoX,raydium,1789152670,0.00003446,16808.15,34465,34465,0,466.24,1389.49,7705,0,0,8,4,24,12,103,78,,10.47,30.65,83.94,0,2,2,1,CPMM,,,,,,,,,,
1789627944,WX2v776Zu2yQT4LjgShsDcRJRePQPzhZG2X7kidBmag,MAGMA,AjBYMYeciW9VjmQQMcyAKdJp88RDxGnVg4PBn78fuiCe,meteora,1789173968,0.000002207,3967.45,2207,2207,0,0,46.5,46.5,0,0,0,0,0,3,0,3,,,-2.95,-2.95,0,1,1,1,DYN2,,,,,,,,,,
1789627941,83CHCpuAz2AcNzYgPzbHpRUphSSgu1EfpceCzYokpump,worm,2pRvPj93pyFGNFERNgcmxtnFkZ6tb9VEJfjc4ApkaVxv,pumpswap,1789175227,0.000003028,2883.23,2925,2925,0,8.46,12.95,69.82,0,0,0,2,1,3,3,4,,-0.99,1.98,2.37,0,1,1,1,,,,,,,,,,,
1789627943,J1U1BWkVUDtujjkew4fCGwvUteeaJwDirEkuPcYCgALL,ALLCAT,5ZaeDM3kecqCgJBx8LWGapmgW3ncv6Ldvmcmbhqy9ZUc,pumpswap,1789159703,0.00001954,11477.44,18955,18955,0,789.28,3286.94,37925.76,1,0,35,12,186,46,1130,379,0.14,-16.65,-26.78,-29.1,0,1,1,1,,,,,,,,,,,
1789627942,F8ZreugBAokXk8wU5FUe2EbLhCHxDKMTx82pfZryHStT,STABLE,3omYN1QDue8eJuRdX91xeNY5ACmLTB1pR7z6joTiPbD8,raydium,1789179067,0.0004729,64983.55,472947,472947,836.36,4074.72,179117.5,693264.94,0,4,17,33,1143,812,3494,2563,-4.99,-5.41,49.91,858,0,1,2,1,CPMM,,,,,,,,,,
1789627941,9Nt1BjsuvsVLPwqV4pH4QuMKz6o1VdvCkZMrv2KYZALL,Y,FBfGF6nNaG2KA2fRr7DMRm6ayaTy9hbS5rNpQYpwAQbE,pumpswap,1789174940,0.00001485,8493.74,14420,14420,0,0,0,0.81,0,0,0,0,1,0,2,1,,,2.74,4.06,0,0,1,1,,,,,,,,,,,
1789627943,HDhRHgjkKAaDsUith1JqnkiRe5d9UngnWXnHsjDgSTNK,MISSILE,5J7NAmihBr4N2ej5GHFVtahDosvQWKzESHaEDjHfX6eq,raydium,1789180864,0.000002209,4110.36,2209,2209,0,0,0,24.21,0,0,0,0,0,0,1,4,,,,2.2,0,0,1,1,CPMM,,,,,,,,,,
1789627940,76T2rvEH5gL7M8eNkKzs4ahoFQJz7JWYX683geGS7jmV,DOGE-1,CRBHNW2DejjBZtWuFxayVD7pt1T49PvQ5aDoCMNZVGJs,raydium,1789202130,0.000002448,4217.34,2449,2449,0,0,41.32,69.69,0,0,0,0,0,3,3,6,,,-3.33,-1.27,0,1,1,1,CPMM,,,,,,,,,,
1789627942,BzMvb3Sm3fyd9wKNgig6Jm2XM65YqrGVDc29eJKWNXcQ,DOOMER,8wVr3NvyGRPrnpD9aMiLu4Nvy6LPY929W8xKW9aFpGVi,raydium,1789237453,0.000002060,3786.5,2060,2060,0,49.37,49.37,82.88,0,0,0,1,0,1,9,3,,-3.15,-3.15,-4.22,0,0,1,1,CPMM,,,,,,,,,,
1789627942,DDoDYLQnxo8ppZBiZM5X981aUFmdM2Vi8RP3dSm4pump,HOBBES,4RirToptMYQSKVN6rgX7pZ3pugqqvHgdcFhDb97Bu2nv,pumpswap,1789260967,0.00002673,14580.92,26475,26475,0,250.69,1298.34,6948.96,0,0,5,2,37,16,154,108,,4.39,23.67,20.89,0,0,1,1,,,,,,,,,,,
1789627939,14T9iS4A9EKhGiD4cUfq7tH542cWbZmDFMzavbExfrge,BURN,FHiG3c8bnuezu28n1s8xABv6oTMapAejXc9uJ9svX4wu,meteoradbc,1789246422,0.00004175,,39990.73,39990.73,0,0,777.13,845.82,0,0,0,0,0,2,2,3,,,-4.62,-3.71,0,1,2,1,,,,,,,,,,,
