PROBE V1 | 2026-09-11 06:25 UTC
ds_profil_latest     kod=200 n=30 | chainId,cto,description,header,icon,links,openGraph,tokenAddress,url
ds_profil_recent     kod=200 n=30 | chainId,cto,description,header,icon,links,openGraph,tokenAddress,updatedAt,url
ds_boost_latest      kod=200 n=30 | amount,chainId,description,header,icon,links,openGraph,tokenAddress,totalAmount,url
ds_boost_top         kod=200 n=30 | chainId,description,header,icon,links,openGraph,tokenAddress,totalAmount,url
ds_cto_latest        kod=200 n=14 | chainId,claimDate,description,header,icon,links,openGraph,tokenAddress,url
ds_ads_latest        kod=200 n=30 | chainId,date,impressions,tokenAddress,type,url
ds_metas_trending    kod=200 n=18 | description,icon,liquidity,marketCap,marketCapChange,marketCapDelta,name,slug,tokenCount,volume
ds_meta_cat          kod=200 n=47 | baseToken,chainId,dexId,fdv,info,labels,liquidity,marketCap,pairAddress,priceChange,priceNative,priceUsd,quoteToken,txns,url,volume
ds_search            kod=200 n=30 | baseToken,chainId,dexId,fdv,info,marketCap,pairAddress,pairCreatedAt,priceChange,priceNative,priceUsd,quoteToken,txns,url,volume
ds_orders            kod=200 n=dict | boosts,orders
gt_trending_6h       kod=200 n=20 | attributes,id,relationships,type
gt_trending_5m       kod=200 n=20 | attributes,id,relationships,type
gt_pool_detay        kod=200 n=dict | data
gt_trades_1000       kod=200 n=300 | attributes,id,type
gt_token_info        kod=200 n=dict | data
gt_token             kod=200 n=dict | data
